id,code,name,price,stock,shop_id
1,001,sandle,100.0,100,1
2,002,shoe,150.0,100,2
3,003,slipper,250.0,100,1
4,004,nagra,420.0,100,2
5,005,School kades,550.0,50,1
6,006,highhil,220.0,60,1
7,007,Red Formal Shoe,700.0,60,1
8,009,Step Slipper,120.0,80,2
9,asdf,asdf,1.0,1,7
10,010,GamBot,320.0,20,1
11,011,GumBot,210.0,60,8
12,01,Chips,50.0,5,10
13,77,Burger,265.0,15,9
14,99,Ice-cream,55.0,50,10
15,50,Nalpolish,20.0,2,11
16,60,hat,250.0,50,9
17,777,balloon,15.0,999,13
18,776,fita,10.0,998,13
19,333,football,1550.0,200,9
